risk_cluster_key,risk_tags,cluster_size,candidate_owner,candidate_duplicates,semantic_equivalence_guess,safe_to_auto_retire,reason
ai_context_pack:build_ai_context_pack:contains,ai_context_pack,3,tests/test_generate_ai_context_pack.py::test_source_contract_baseline_includes_all_canonical_sources,tests/test_generate_ai_context_pack.py::test_prohibited_trading_vocabulary_absent_outside_policy_sections;tests/test_generate_ai_context_pack.py::test_usable_live_sources_excludes_eod_and_broker_sources,partial,manual_review_required,static cluster overlap needs human semantic review
ai_context_pack:build_ai_context_pack:contains+equals,ai_context_pack,1,tests/test_generate_ai_context_pack.py::test_watchlist_observation_summary_preserves_failed_observation_count,,unclear,no,single test or no duplicate evidence
ai_context_pack:build_ai_context_pack:equals,ai_context_pack,2,tests/test_generate_ai_context_pack.py::test_failed_sources_and_targets_preserved,tests/test_generate_ai_context_pack.py::test_freshness_and_delay_summary_counts_successful_symbols,partial,manual_review_required,static cluster overlap needs human semantic review
ai_context_pack:build_ai_context_pack:truthy,ai_context_pack,1,tests/test_generate_ai_context_pack.py::test_ai_may_say_and_must_not_claim_exist_and_non_empty,,unclear,no,single test or no duplicate evidence
ai_context_pack:load_json:no_assert,ai_context_pack,1,tests/test_generate_ai_context_pack.py::test_missing_input_file_fails_clearly,,unclear,no,single test or no duplicate evidence
ai_context_pack:validate_context_pack:no_assert,ai_context_pack,1,tests/test_generate_chatgpt_briefing.py::test_missing_required_section,,unclear,no,single test or no duplicate evidence
bounded_watchlist:_watchlist:contains+equals,bounded_watchlist,1,tests/unit/test_m5k_workflow.py,,unclear,no,single test or no duplicate evidence
bounded_watchlist:bounded_watchlist:boolean_identity+contains+equals,bounded_watchlist,1,tests/unit/test_m5k_workflow.py,,unclear,no,single test or no duplicate evidence
bounded_watchlist:build_ai_context_pack:boolean_identity+contains,ai_context_pack;bounded_watchlist,1,tests/unit/test_m5k_workflow.py,,unclear,no,single test or no duplicate evidence
bounded_watchlist:build_ai_context_pack:contains+truthy,ai_context_pack;bounded_watchlist,1,tests/unit/test_m5k_workflow.py,,unclear,no,single test or no duplicate evidence
bounded_watchlist:build_empty_symbol:boolean_identity+equals+truthy,bounded_watchlist;no_full_market_scan;snapshot_schema;source_health,1,tests/unit/test_m5k_workflow.py,,unclear,no,single test or no duplicate evidence
bounded_watchlist:build_mock_inputs_from_fixtures:boolean_identity+contains+equals,bounded_watchlist;no_full_market_scan;snapshot_schema,1,tests/unit/test_m5k_workflow.py,,unclear,no,single test or no duplicate evidence
bounded_watchlist:build_mock_inputs_from_fixtures:boolean_identity+contains+truthy,bounded_watchlist;no_full_market_scan;snapshot_schema;source_health,1,tests/unit/test_m5k_workflow.py,,unclear,no,single test or no duplicate evidence
bounded_watchlist:build_watchlist_observations:boolean_identity+contains+equals+truthy,bounded_watchlist;no_full_market_scan,1,tests/unit/test_m5k_workflow.py,,unclear,no,single test or no duplicate evidence
bounded_watchlist:load_json:boolean_identity+contains,bounded_watchlist,2,tests/unit/test_m5k_workflow.py,tests/unit/test_m5k_workflow.py::test_disabled_watchlist_rows_validate_but_are_not_planned,partial,manual_review_required,static cluster overlap needs human semantic review
bounded_watchlist:load_json:boolean_identity+contains+equals,bounded_watchlist,1,tests/unit/test_m5k_workflow.py,,unclear,no,single test or no duplicate evidence
